"Value","Timestamp","MetricId","Unit","Description","Entity","EntityId","IntervalSecs","Instance","Uid"
"0.72","25/02/2023 2:54:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129336600000000/"
"0.68","25/02/2023 2:54:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129336400000000/"
"0.7","25/02/2023 2:53:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129336200000000/"
"0.78","25/02/2023 2:53:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129336000000000/"
"0.72","25/02/2023 2:53:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129335800000000/"
"0.79","25/02/2023 2:52:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129335600000000/"
"0.71","25/02/2023 2:52:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129335400000000/"
"0.72","25/02/2023 2:52:00 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129335200000000/"
"0.76","25/02/2023 2:51:40 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129335000000000/"
"0.74","25/02/2023 2:51:20 PM","cpu.usage.average","%","CPU usage as a percentage during the interval","Spark cluster 02","VirtualMachine-vm-13015","20","","/VIServer=vcenter.local\administrator@172.20.71.71:443/VirtualMachine=VirtualMachine-vm-13015/FloatSample=cpu.usage.average\\638129334800000000/"
